Date;Euro
10/10/2022 23:00:00;€ € 159,34
10/10/2022 22:00:00;€ € 183,13
10/10/2022 21:00:00;€ € 206,50
10/10/2022 20:00:00;€ € 241,21
10/10/2022 19:00:00;€ € 280,41
10/10/2022 18:00:00;€ € 250,23
10/10/2022 17:00:00;€ € 212,45
10/10/2022 16:00:00;€ € 160,50
10/10/2022 15:00:00;€ € 150,00
10/10/2022 14:00:00;€ € 134,96
10/10/2022 13:00:00;€ € 142,08
10/10/2022 12:00:00;€ € 149,52
10/10/2022 11:00:00;€ € 169,58
10/10/2022 10:00:00;€ € 219,76
10/10/2022 9:00:00;€ € 265,00
10/10/2022 8:00:00;€ € 266,67
10/10/2022 7:00:00;€ € 227,26
10/10/2022 6:00:00;€ € 179,17
10/10/2022 5:00:00;€ € 141,40
10/10/2022 4:00:00;€ € 94,63
10/10/2022 3:00:00;€ € 99,58
10/10/2022 2:00:00;€ € 131,90
10/10/2022 1:00:00;€ € 131,27
10/10/2022 0:00:00;€ € 133,31
9/10/2022 23:00:00;€ € 155,86
9/10/2022 22:00:00;€ € 168,91
9/10/2022 21:00:00;€ € 176,45
9/10/2022 20:00:00;€ € 202,75
9/10/2022 19:00:00;€ € 270,88
9/10/2022 18:00:00;€ € 200,64
9/10/2022 17:00:00;€ € 192,85
9/10/2022 16:00:00;€ € 133,76
9/10/2022 15:00:00;€ € 79,25
9/10/2022 14:00:00;€ € 62,27
9/10/2022 13:00:00;€ € 60,72
9/10/2022 12:00:00;€ € 96,96
9/10/2022 11:00:00;€ € 88,10
9/10/2022 10:00:00;€ € 116,00
9/10/2022 9:00:00;€ € 150,85
9/10/2022 8:00:00;€ € 196,70
9/10/2022 7:00:00;€ € 195,68
9/10/2022 6:00:00;€ € 153,00
9/10/2022 5:00:00;€ € 147,12
9/10/2022 4:00:00;€ € 141,95
9/10/2022 3:00:00;€ € 162,10
9/10/2022 2:00:00;€ € 190,34
9/10/2022 1:00:00;€ € 195,02
9/10/2022 0:00:00;€ € 216,13
8/10/2022 23:00:00;€ € 234,37
8/10/2022 22:00:00;€ € 248,90
8/10/2022 21:00:00;€ € 248,78
8/10/2022 20:00:00;€ € 278,75
8/10/2022 19:00:00;€ € 326,53
8/10/2022 18:00:00;€ € 250,64
8/10/2022 17:00:00;€ € 176,60
8/10/2022 16:00:00;€ € 144,31
